Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
83,tt7569576,2022-03-09,2022-03-09,,"The Flight Attendant","The Flight Attendant",https://www.imdb.com/title/tt7569576/,TV Series,7.1,,2020,"Comedy, Drama, Mystery, Thriller",63022,2020-11-18,
84,tt10731032,2022-03-09,2022-03-09,,"Life & Beth","Life & Beth",https://www.imdb.com/title/tt10731032/,TV Series,6.7,30,2022,"Comedy, Drama",9602,2022-03-18,
85,tt8962130,2022-03-09,2022-03-09,,"Shrill","Shrill",https://www.imdb.com/title/tt8962130/,TV Series,7.4,30,2019,"Comedy, Drama",9386,2019-03-15,
86,tt8324422,2022-03-09,2022-03-09,,"PEN15","PEN15",https://www.imdb.com/title/tt8324422/,TV Series,8.1,30,2019,"Comedy",14330,2019-02-08,
87,tt11738792,2022-03-09,2022-03-09,,"Taylor Tomlinson: Quarter-Life Crisis","Taylor Tomlinson: Quarter-Life Crisis",https://www.imdb.com/title/tt11738792/,TV Special,7.4,61,2020,"Comedy",5328,2020-03-03,"Marcus Raboy"
88,tt13885280,2022-03-10,2022-03-10,,"Dark Side of the '90s","Dark Side of the '90s",https://www.imdb.com/title/tt13885280/,TV Series,7.3,,2021,"Documentary, Biography, History",795,2021-07-22,
89,tt8026448,2022-03-11,2022-03-11,,"Tacoma FD","Tacoma FD",https://www.imdb.com/title/tt8026448/,TV Series,8.1,30,2019,"Comedy",9787,2019-03-28,
90,tt3032476,2022-03-11,2022-03-11,,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476/,TV Series,9.0,45,2015,"Crime, Drama",654886,2015-02-08,
91,tt8936646,2022-03-19,2022-03-19,,"Extraction","Extraction",https://www.imdb.com/title/tt8936646/,Movie,6.8,116,2020,"Action, Thriller",265027,2020-04-24,"Sam Hargrave"
92,tt8688634,2022-03-19,2022-03-19,,"21 Bridges","21 Bridges",https://www.imdb.com/title/tt8688634/,Movie,6.6,99,2019,"Action, Adventure, Crime, Drama, Mystery, Thriller",74929,2019-11-22,"Brian Kirk"
93,tt4532368,2022-03-19,2022-03-19,,"DC's Legends of Tomorrow","Legends of Tomorrow",https://www.imdb.com/title/tt4532368/,TV Series,6.8,42,2016,"Action, Adventure, Drama, Sci-Fi",110289,2016-01-21,
94,tt11777738,2022-03-19,2022-03-19,,"A Hero","Ghahreman",https://www.imdb.com/title/tt11777738/,Movie,7.5,127,2021,"Drama",29744,2022-01-21,"Asghar Farhadi"
95,tt5057054,2022-03-19,2022-03-19,,"Tom Clancy's Jack Ryan","Jack Ryan",https://www.imdb.com/title/tt5057054/,TV Series,8.0,60,2018,"Action, Drama, Thriller",176677,2018-08-31,
96,tt5875444,2022-03-22,2022-03-22,,"Slow Horses","Slow Horses",https://www.imdb.com/title/tt5875444/,TV Series,8.1,,2022,"Drama, Thriller",73108,2022-04-01,
